Player,Height,Weight,DraftNumber,Origin
Josh Huestis,6-7,230.0,29,Stanford
Tyler Hansbrough,,,13,North Carolina
Tyler Zeller,6-11,250.0,17,North Carolina
Payton Pritchard,6-1,195.0,26,Oregon
Cristiano Felício,6-11,270.0,UFA,Flamengo
Terrance Ferguson,6-6,190.0,21,Adelaide
Isaiah Whitehead,6-4,213.0,42,Seton Hall
Cam Thomas,6-3,210.0,27,Louisiana State
Jae'Sean Tate,6-4,230.0,UFA,Ohio State
Julian Champagnie,6-7,217.0,UFA,St. John's
Miles Bridges,6-7,225.0,12,Michigan State
Lucas Nogueira,7-0,220.0,16,Estudiantes
Jimmy Butler,6-7,230.0,30,Marquette
John Henson,6-9,219.0,14,North Carolina
Matthew Dellavedova,6-3,200.0,UFA,Saint Mary's
Anthony Edwards,6-4,225.0,1,Georgia
Thomas Robinson,6-10,237.0,5,Kansas
Aaron Wiggins,6-5,190.0,55,Maryland
Anthony Lamb,6-6,227.0,UFA,Vermont
Jalen Duren,6-10,250.0,13,Memphis
Andrew Wiggins,6-7,197.0,1,Kansas
Khris Middleton,6-7,222.0,39,Texas A&M
Elfrid Payton,6-3,195.0,10,Louisana-Lafayette
Maurice Harkless,6-7,220.0,15,"St. John's, N.Y."
Dragan Bender,7-0,249.0,4,Maccabi Tel Aviv
Richaun Holmes,6-9,235.0,37,Bowling Green
R.J. Hampton,6-4,175.0,24,Capital City Go-Go
Langston Galloway,6-1,200.0,UFA,St. Joseph's (PA)
Nik Stauskas,6-6,207.0,8,Michigan
Jordan McLaughlin,6-0,185.0,UFA,Southern California
Sam Dekker,6-8,219.0,18,Wisconsin
Dereck Lively II,7-1,230.0,12,Duke
Delon Wright,6-5,185.0,20,Utah
Brad Wanamaker,6-3,210.0,UFA,Pittsburgh
Ky Bowman,6-1,187.0,UFA,Boston College
Johnny Juzang,6-5,226.0,UFA,UCLA
Justise Winslow,6-6,222.0,10,Duke
Dāvis Bertāns,6-10,225.0,42,Baskonia
Kel'el Ware,7-0,230.0,15,Indiana
Obi Toppin,6-9,220.0,8,Dayton
Ricky Council IV,6-6,207.0,UFA,Arkansas
Jrue Holiday,6-4,205.0,17,UCLA
Donatas Motiejūnas,7-0,220.0,20,Lithuania
Amen Thompson,6-7,200.0,4,Overtime Elite
LaMelo Ball,6-7,180.0,3,Illawarra
Metta World Peace,6-7,260.0,16,St. John's (NY)
Deni Avdija,6-9,240.0,9,Maccabi Tel Aviv
Jabari Parker,6-7,245.0,2,Duke
Alec Burks,6-5,214.0,12,Colorado
Zaccharie Risacher,6-8,200.0,1,JL Bourg-en-Bresse
Reggie Bullock,6-6,205.0,25,North Carolina
Andrew Nicholson,6-9,250.0,19,St. Bonaventure
Saddiq Bey,6-7,215.0,19,Villanova
Sergio Rodríguez,6-3,176.0,27,Estudiantes
Matt Barnes,6-7,226.0,45,UCLA
Brandan Wright,6-10,235.0,8,North Carolina
Paul Millsap,6-7,257.0,47,Louisiana Tech
Rudy Gobert,7-1,258.0,27,Cholet
George Hill,6-4,188.0,26,Indiana-Purdue Indianapolis
Bogdan Bogdanović,6-5,225.0,27,Fenerbahce
Nikola Jokić,6-11,284.0,41,Mega Basket
Patrick Beverley,6-2,180.0,42,Arkansas
Denzel Valentine,6-4,220.0,14,Michigan State
Thon Maker,7-0,221.0,10,Athlete Institute Prep
Lauri Markkanen,7-0,240.0,7,Arizona
Reed Sheppard,6-2,185.0,3,Kentucky
Adreian Payne,6-10,237.0,15,Michigan State
Shaquille Harrison,6-4,195.0,UFA,Tulsa
Gary Harris,6-4,210.0,19,Michigan State
Ignas Brazdeikis,6-6,221.0,47,Michigan
Adem Bona,6-10,235.0,41,UCLA
Paolo Banchero,6-10,250.0,1,Duke
Evan Mobley,6-11,215.0,3,Southern California
Sean Kilpatrick,6-4,212.0,UFA,Cincinnati
JJ Redick,6-3,200.0,11,Duke
Mike Dunleavy,6-9,230.0,3,Duke
Sekou Doumbouya,6-9,230.0,15,
Karlo Matković,6-10,231.0,52,Mega Basket
Marcus Smart,6-3,220.0,6,Oklahoma State
Tre Jones,6-1,185.0,41,Duke
Patrick Patterson,6-8,235.0,14,Kentucky
Quinn Cook,6-1,180.0,UFA,Duke
David Nwaba,6-5,219.0,UFA,Cal Poly-Obispo
Jaron Blossomgame,6-8,220.0,59,Clemson
Jevon Carter,6-1,200.0,32,West Virginia
Brice Sensabaugh,6-5,235.0,28,Ohio State
Nassir Little,6-6,220.0,25,North Carolina
Trey Lyles,6-9,234.0,12,Kentucky
Jalen Green,6-4,186.0,2,NBA G League Ignite
T.J. McConnell,6-1,190.0,,Arizona
Andrew Harrison,6-6,213.0,44,Kentucky
Marcus Morris,6-8,218.0,14,Kansas
Isaiah Stewart,6-8,250.0,16,Washington
Jarrett Culver,6-6,195.0,6,Texas Tech
Lamar Patterson,6-5,225.0,48,Pittsburgh
Jabari Walker,6-7,237.0,57,Colorado
Craig Porter Jr.,6-1,180.0,UFA,Wichita State
Isaac Bonga,6-8,180.0,39,Skyliners Frankfurt
Pat Connaughton,6-5,209.0,41,Notre Dame
Kevin Porter Jr.,6-4,203.0,30,Southern California
Dominick Barlow,6-8,215.0,UFA,Overtime Elite
Sandro Mamukelashvili,6-9,240.0,54,Seton Hall
Isaiah Jackson,6-9,205.0,22,Kentucky
Michael Porter Jr.,6-10,218.0,14,Missouri
Grant Williams,6-6,236.0,22,Tennessee
Moses Moody,6-5,211.0,14,Arkansas
Keegan Murray,6-8,225.0,4,Iowa
Greg Brown III,6-7,206.0,43,Texas
Jaylen Clark,6-4,205.0,53,UCLA
Svi Mykhailiuk,6-7,205.0,47,Kansas
Jordan Crawford,6-5,195.0,27,Xavier
Michael Beasley,6-9,235.0,2,Kansas State
Ronnie Price,6-2,190.0,UFA,Utah Valley
Spencer Hawes,7-1,245.0,10,Washington
James Michael McAdoo,6-9,230.0,UFA,North Carolina
Dion Waiters,6-3,210.0,4,Syracuse
Brandon Ingram,6-8,190.0,2,Duke
Ed Davis,6-9,218.0,13,North Carolina
Devin Carter,6-2,195.0,13,Providence
De'Andre Hunter,6-8,221.0,4,Virginia
Jaren Jackson Jr.,6-10,242.0,4,Michigan State
Derrick Favors,6-9,265.0,3,Georgia Tech
Tyler Cavanaugh,6-9,238.0,UFA,George Washington
